,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
804,a_1|participant_id_offset[30],1.758,0.222,1.341,2.181,0.008,0.006,770.0,820.0,
805,a_1|participant_id_offset[31],-0.839,0.277,-1.403,-0.346,0.009,0.006,1054.0,1025.0,
806,a_1|participant_id_offset[32],-3.925,0.407,-4.615,-3.066,0.013,0.009,1022.0,979.0,
807,a_1|participant_id_offset[33],-2.511,0.341,-3.19,-1.928,0.011,0.008,930.0,1017.0,
808,a_1|participant_id_offset[34],-3.021,0.367,-3.645,-2.267,0.012,0.008,975.0,1023.0,
809,a_1|participant_id_offset[35],0.688,0.238,0.241,1.111,0.008,0.005,984.0,915.0,
810,a_1|participant_id_offset[36],1.52,0.236,1.07,1.971,0.008,0.006,893.0,814.0,
811,a_1|participant_id_offset[37],-0.39,0.268,-0.887,0.115,0.008,0.006,1073.0,935.0,
812,a_1|participant_id_offset[38],-0.208,0.25,-0.683,0.246,0.008,0.006,909.0,882.0,
813,a_1|participant_id_offset[39],-1.556,0.293,-2.104,-1.025,0.009,0.007,995.0,880.0,
814,a_1|participant_id_offset[40],1.439,0.216,1.025,1.851,0.007,0.005,957.0,832.0,
815,a_1|participant_id_offset[41],0.923,0.223,0.532,1.362,0.007,0.005,1040.0,795.0,
816,a_1|participant_id_offset[42],1.456,0.232,1.04,1.891,0.007,0.005,1024.0,915.0,
817,a_1|participant_id_offset[43],-1.882,0.323,-2.509,-1.293,0.01,0.007,1024.0,882.0,
818,a_1|participant_id_offset[44],1.316,0.248,0.873,1.803,0.009,0.006,828.0,944.0,
819,a_1|participant_id_offset[45],0.399,0.229,-0.009,0.844,0.007,0.005,1039.0,972.0,
820,a_1|participant_id_offset[46],1.049,0.219,0.651,1.498,0.007,0.005,1038.0,1017.0,
821,a_1|participant_id_offset[47],1.343,0.249,0.859,1.791,0.008,0.006,923.0,908.0,
822,a_1|participant_id_offset[48],1.964,0.222,1.559,2.387,0.007,0.005,1025.0,878.0,
823,a_1|participant_id_offset[49],1.83,0.216,1.4,2.225,0.007,0.005,854.0,983.0,
824,a_1|participant_id_offset[50],-1.269,0.285,-1.805,-0.758,0.009,0.006,979.0,983.0,
825,a_1|participant_id_offset[51],0.849,0.235,0.442,1.297,0.008,0.006,792.0,747.0,
826,a_1|participant_id_offset[52],1.654,0.226,1.243,2.063,0.008,0.005,881.0,664.0,
827,a_1|participant_id_offset[53],1.298,0.239,0.872,1.78,0.008,0.006,841.0,884.0,
828,a_1|participant_id_offset[54],1.167,0.218,0.76,1.567,0.007,0.005,902.0,952.0,
829,a_1|participant_id_offset[55],-0.072,0.256,-0.557,0.378,0.008,0.006,950.0,975.0,
830,a_1|participant_id_offset[56],1.938,0.255,1.47,2.417,0.008,0.006,990.0,915.0,
831,a_1|participant_id_offset[57],0.738,0.242,0.3,1.188,0.008,0.005,989.0,717.0,
832,a_1|participant_id_offset[58],2.396,0.241,1.958,2.852,0.008,0.006,841.0,849.0,
833,a_1|participant_id_offset[59],-0.318,0.268,-0.787,0.188,0.009,0.006,979.0,904.0,
834,a_1|participant_id_offset[60],1.114,0.225,0.708,1.546,0.007,0.005,914.0,981.0,
835,a_1|participant_id_offset[61],-1.145,0.279,-1.653,-0.638,0.009,0.006,1025.0,915.0,
836,a_1|participant_id_offset[62],1.432,0.224,1.033,1.853,0.007,0.005,892.0,951.0,
837,a_1|participant_id_offset[63],0.381,0.236,-0.03,0.826,0.008,0.006,920.0,901.0,
838,a_1|participant_id_offset[64],0.505,0.232,0.076,0.932,0.008,0.006,923.0,952.0,
839,a_1|participant_id_offset[65],2.113,0.237,1.632,2.527,0.008,0.005,969.0,896.0,
840,a_1|participant_id_offset[66],0.928,0.239,0.519,1.428,0.008,0.006,819.0,942.0,
841,a_1|participant_id_offset[67],1.631,0.226,1.211,2.066,0.008,0.005,891.0,909.0,
842,a_1|participant_id_offset[68],-0.143,0.249,-0.623,0.324,0.008,0.006,993.0,932.0,
843,a_1|participant_id_offset[69],-0.966,0.276,-1.517,-0.488,0.009,0.006,971.0,850.0,
844,z_prevresp,0.108,0.046,0.027,0.203,0.001,0.001,943.0,1026.0,
845,v_signed_contrast,0.038,0.004,0.032,0.046,0.0,0.0,1007.0,881.0,
846,v_Intercept,0.035,0.051,-0.062,0.126,0.002,0.001,983.0,983.0,
