,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
453,a_1|participant_id[32],-1.037,0.259,-1.513,-0.552,0.008,0.006,975.0,900.0,
454,a_1|participant_id[33],-0.857,0.256,-1.375,-0.412,0.009,0.006,896.0,812.0,
455,a_1|participant_id[34],-0.864,0.221,-1.289,-0.449,0.007,0.005,918.0,908.0,
456,a_1|participant_id[35],0.129,0.257,-0.356,0.607,0.008,0.006,989.0,906.0,
457,a_1|participant_id[36],0.365,0.297,-0.261,0.874,0.01,0.007,903.0,975.0,
458,a_1|participant_id[37],-0.221,0.249,-0.662,0.285,0.008,0.006,935.0,874.0,
459,a_1|participant_id[38],0.091,0.243,-0.347,0.579,0.008,0.005,972.0,847.0,
460,a_1|participant_id[39],-0.842,0.25,-1.287,-0.369,0.008,0.006,940.0,943.0,
461,a_1|participant_id[40],0.695,0.274,0.186,1.202,0.009,0.006,971.0,831.0,
462,a_1|participant_id[41],0.345,0.26,-0.192,0.814,0.008,0.006,935.0,872.0,
463,a_1|participant_id[42],0.529,0.275,-0.004,1.008,0.009,0.007,939.0,905.0,
464,a_1|participant_id[43],-0.641,0.255,-1.142,-0.227,0.008,0.006,1069.0,983.0,
465,a_1|participant_id[44],0.279,0.275,-0.269,0.752,0.009,0.006,1030.0,1015.0,
466,a_1|participant_id[45],0.073,0.258,-0.422,0.532,0.008,0.006,930.0,876.0,
467,a_1|participant_id[46],0.442,0.288,-0.085,0.99,0.009,0.007,953.0,671.0,
468,a_1|participant_id[47],0.319,0.285,-0.213,0.881,0.009,0.007,1004.0,813.0,
469,a_1|participant_id[48],0.575,0.281,0.019,1.089,0.009,0.007,932.0,951.0,
470,a_1|participant_id[49],0.432,0.331,-0.255,1.007,0.01,0.007,1019.0,847.0,
471,a_1|participant_id[50],-0.494,0.22,-0.923,-0.087,0.007,0.005,971.0,973.0,
472,a_1|participant_id[51],0.205,0.314,-0.349,0.806,0.009,0.007,1162.0,990.0,
473,a_1|participant_id[52],0.436,0.292,-0.138,0.959,0.009,0.007,981.0,915.0,
474,a_1|participant_id[53],0.57,0.254,0.084,1.026,0.008,0.006,917.0,868.0,
475,a_1|participant_id[54],0.193,0.29,-0.324,0.758,0.009,0.006,1017.0,1021.0,
476,a_1|participant_id[55],-0.171,0.277,-0.691,0.337,0.009,0.006,1022.0,827.0,
477,a_1|participant_id[56],0.618,0.286,0.044,1.135,0.009,0.007,919.0,970.0,
478,a_1|participant_id[57],0.129,0.271,-0.412,0.598,0.009,0.006,991.0,1031.0,
479,a_1|participant_id[58],0.538,0.278,0.016,1.048,0.009,0.006,944.0,907.0,
480,a_1|participant_id[59],-0.371,0.278,-0.872,0.178,0.009,0.006,962.0,981.0,
481,a_1|participant_id[60],0.245,0.253,-0.206,0.753,0.008,0.006,898.0,949.0,
482,a_1|participant_id[61],-0.426,0.278,-0.963,0.069,0.009,0.006,970.0,846.0,
483,a_1|participant_id[62],0.455,0.274,-0.099,0.923,0.009,0.007,900.0,980.0,
484,a_1|participant_id[63],0.038,0.262,-0.505,0.489,0.009,0.006,904.0,1011.0,
485,a_1|participant_id[64],0.076,0.253,-0.384,0.588,0.008,0.006,977.0,927.0,
486,a_1|participant_id[65],0.745,0.292,0.185,1.32,0.01,0.007,873.0,984.0,
487,a_1|participant_id[66],0.074,0.357,-0.599,0.728,0.012,0.008,934.0,914.0,
488,a_1|participant_id[67],0.52,0.269,0.016,1.038,0.009,0.006,911.0,1060.0,
489,a_1|participant_id[68],0.159,0.269,-0.365,0.644,0.009,0.006,962.0,983.0,
490,a_1|participant_id[69],0.074,0.285,-0.473,0.611,0.009,0.008,1005.0,1071.0,
491,alpha_1|participant_id_offset[1],0.093,1.186,-1.969,2.322,0.04,0.029,860.0,820.0,
492,alpha_1|participant_id_offset[2],-0.072,1.127,-2.339,1.97,0.037,0.027,912.0,914.0,
493,alpha_1|participant_id_offset[3],0.023,1.085,-2.286,1.845,0.038,0.027,820.0,945.0,
494,alpha_1|participant_id_offset[4],0.062,1.113,-2.01,2.136,0.036,0.025,983.0,983.0,
495,alpha_1|participant_id_offset[5],-0.056,1.168,-2.24,2.078,0.036,0.026,1074.0,841.0,
496,alpha_1|participant_id_offset[6],0.079,1.097,-1.962,2.124,0.036,0.025,950.0,983.0,
497,alpha_1|participant_id_offset[7],0.005,1.149,-1.928,2.243,0.037,0.026,967.0,904.0,
498,alpha_1|participant_id_offset[8],0.046,1.083,-1.934,2.08,0.033,0.024,1060.0,1017.0,
499,alpha_1|participant_id_offset[9],-0.033,1.113,-2.25,1.849,0.038,0.027,887.0,865.0,
