,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
699,z_1|participant_id_offset[65],0.725,0.694,-0.534,2.01,0.021,0.016,1043.0,900.0,
700,z_1|participant_id_offset[66],-0.04,1.055,-1.951,1.901,0.034,0.024,975.0,785.0,
701,z_1|participant_id_offset[67],-0.543,0.756,-1.859,0.922,0.025,0.018,912.0,880.0,
702,z_1|participant_id_offset[68],-0.408,0.774,-1.81,1.074,0.026,0.019,875.0,908.0,
703,z_1|participant_id_offset[69],-0.567,0.899,-2.206,1.04,0.03,0.021,893.0,1013.0,
704,t_1|participant_id_sigma,0.265,0.089,0.12,0.423,0.003,0.002,815.0,874.0,
705,a_1|participant_id_offset[1],-1.459,0.868,-3.106,0.068,0.028,0.02,989.0,990.0,
706,a_1|participant_id_offset[2],1.539,0.912,-0.179,3.227,0.032,0.023,802.0,890.0,
707,a_1|participant_id_offset[3],0.627,1.061,-1.481,2.393,0.036,0.025,870.0,912.0,
708,a_1|participant_id_offset[4],-2.114,0.837,-3.601,-0.493,0.027,0.019,987.0,975.0,
709,a_1|participant_id_offset[5],1.445,1.002,-0.246,3.533,0.037,0.026,748.0,809.0,
710,a_1|participant_id_offset[6],-0.735,0.85,-2.243,0.839,0.028,0.02,914.0,975.0,
711,a_1|participant_id_offset[7],0.199,0.791,-1.214,1.723,0.024,0.017,1050.0,1071.0,
712,a_1|participant_id_offset[8],2.401,0.936,0.636,4.153,0.033,0.023,819.0,868.0,
713,a_1|participant_id_offset[9],1.288,0.842,-0.238,2.896,0.029,0.02,874.0,850.0,
714,a_1|participant_id_offset[10],1.981,0.809,0.528,3.488,0.027,0.019,906.0,875.0,
715,a_1|participant_id_offset[11],0.184,0.938,-1.711,1.807,0.032,0.023,837.0,996.0,
716,a_1|participant_id_offset[12],1.748,0.809,0.15,3.218,0.027,0.019,911.0,823.0,
717,a_1|participant_id_offset[13],0.558,0.846,-1.007,2.163,0.029,0.021,848.0,962.0,
718,a_1|participant_id_offset[14],-1.491,0.768,-2.892,-0.001,0.027,0.019,836.0,917.0,
719,a_1|participant_id_offset[15],-1.423,0.771,-2.98,-0.078,0.023,0.017,1118.0,983.0,
720,a_1|participant_id_offset[16],-0.976,0.822,-2.496,0.584,0.03,0.021,742.0,880.0,
721,a_1|participant_id_offset[17],-1.07,0.848,-2.664,0.482,0.027,0.019,1010.0,905.0,
722,a_1|participant_id_offset[18],1.759,0.926,0.106,3.47,0.031,0.022,866.0,975.0,
723,a_1|participant_id_offset[19],0.868,0.787,-0.615,2.337,0.026,0.018,915.0,944.0,
