,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
148,v_1|participant_id[6],1.431,0.767,0.004,2.932,0.025,0.018,939.0,984.0,
149,v_1|participant_id[7],1.365,0.583,0.207,2.402,0.019,0.013,936.0,1013.0,
150,v_1|participant_id[8],-0.168,0.604,-1.32,0.943,0.021,0.015,794.0,1062.0,
151,v_1|participant_id[9],0.13,0.709,-1.094,1.486,0.023,0.016,973.0,915.0,
152,v_1|participant_id[10],0.333,0.411,-0.406,1.049,0.012,0.009,1088.0,1026.0,
153,v_1|participant_id[11],0.234,0.47,-0.581,1.169,0.014,0.01,1090.0,1062.0,
154,v_1|participant_id[12],-1.26,0.541,-2.272,-0.26,0.017,0.012,986.0,1026.0,
155,v_1|participant_id[13],-1.757,0.968,-3.586,0.036,0.031,0.022,986.0,519.0,
156,v_1|participant_id[14],-3.723,1.146,-5.799,-1.657,0.035,0.025,1081.0,908.0,
157,v_1|participant_id[15],2.97,1.052,1.242,5.096,0.033,0.023,1018.0,842.0,
158,v_1|participant_id[16],-4.413,1.386,-6.978,-1.999,0.042,0.03,1068.0,899.0,
159,v_1|participant_id[17],1.242,0.691,-0.019,2.548,0.023,0.016,936.0,979.0,
160,v_1|participant_id[18],1.155,0.489,0.247,2.085,0.015,0.01,1111.0,937.0,
161,v_1|participant_id[19],0.971,0.616,-0.083,2.211,0.02,0.014,971.0,881.0,
162,v_1|participant_id[20],0.47,1.503,-2.097,3.5,0.048,0.034,975.0,944.0,
163,v_1|participant_id[21],-3.977,1.264,-6.748,-2.018,0.042,0.029,914.0,769.0,
164,v_1|participant_id[22],-2.517,1.028,-4.588,-0.774,0.034,0.024,936.0,944.0,
165,v_1|participant_id[23],1.367,0.95,-0.457,3.047,0.03,0.022,967.0,843.0,
166,v_1|participant_id[24],0.197,0.532,-0.925,1.13,0.016,0.012,1104.0,854.0,
167,v_1|participant_id[25],0.949,0.848,-0.679,2.482,0.029,0.02,888.0,850.0,
168,v_1|participant_id[26],5.813,1.537,3.134,8.596,0.053,0.038,822.0,733.0,
169,v_1|participant_id[27],-2.593,1.039,-4.398,-0.658,0.031,0.022,1086.0,1069.0,
170,v_1|participant_id[28],-2.242,0.798,-3.755,-0.869,0.024,0.017,1103.0,820.0,
171,v_1|participant_id[29],0.544,0.532,-0.417,1.607,0.017,0.012,1062.0,937.0,
172,v_1|participant_id[30],0.338,0.564,-0.616,1.462,0.02,0.014,766.0,1017.0,
173,v_1|participant_id[31],-0.567,0.559,-1.596,0.447,0.017,0.012,1019.0,1011.0,
174,v_1|participant_id[32],-0.934,0.523,-1.924,0.108,0.017,0.012,915.0,791.0,
175,v_1|participant_id[33],-3.6,1.239,-5.883,-1.36,0.039,0.028,1009.0,982.0,
176,v_1|participant_id[34],1.638,0.62,0.549,2.791,0.02,0.014,962.0,877.0,
177,v_1|participant_id[35],-4.614,1.471,-7.196,-1.923,0.046,0.033,996.0,941.0,
178,v_1|participant_id[36],-0.262,0.42,-1.19,0.427,0.013,0.009,1006.0,983.0,
179,v_1|participant_id[37],2.866,0.596,1.797,4.016,0.019,0.014,943.0,717.0,
180,v_1|participant_id[38],-0.375,0.534,-1.446,0.574,0.017,0.012,996.0,937.0,
181,v_1|participant_id[39],3.595,0.976,1.94,5.423,0.034,0.024,854.0,908.0,
182,v_1|participant_id[40],-1.198,0.819,-2.597,0.446,0.026,0.019,992.0,983.0,
183,v_1|participant_id[41],1.529,0.536,0.637,2.66,0.017,0.012,987.0,915.0,
184,v_1|participant_id[42],-0.393,0.401,-1.101,0.372,0.013,0.009,1023.0,979.0,
185,v_1|participant_id[43],1.712,0.734,0.307,3.038,0.024,0.017,987.0,863.0,
186,v_1|participant_id[44],0.749,0.767,-0.618,2.202,0.025,0.018,987.0,861.0,
187,v_1|participant_id[45],0.675,0.49,-0.288,1.53,0.015,0.011,993.0,889.0,
188,v_1|participant_id[46],1.928,1.497,-1.234,4.5,0.047,0.034,1013.0,884.0,
189,v_1|participant_id[47],0.38,0.422,-0.395,1.214,0.013,0.01,1073.0,1014.0,
190,v_1|participant_id[48],-0.582,0.562,-1.678,0.421,0.018,0.013,1005.0,936.0,
191,v_1|participant_id[49],0.165,0.554,-0.974,1.128,0.017,0.013,1053.0,880.0,
192,v_1|participant_id[50],2.191,0.63,1.025,3.42,0.021,0.015,882.0,912.0,
193,v_1|participant_id[51],-0.638,1.53,-3.655,2.19,0.051,0.036,905.0,937.0,
194,v_1|participant_id[52],0.211,0.402,-0.55,0.945,0.013,0.009,970.0,883.0,
195,v_1|participant_id[53],0.974,0.417,0.173,1.709,0.014,0.01,917.0,817.0,
196,v_1|participant_id[54],-0.984,0.709,-2.426,0.299,0.023,0.016,948.0,880.0,
197,v_1|participant_id[55],0.091,0.452,-0.819,0.906,0.015,0.011,916.0,906.0,
198,v_1|participant_id[56],0.742,0.457,-0.137,1.554,0.014,0.01,1056.0,1005.0,
199,v_1|participant_id[57],0.427,0.433,-0.374,1.243,0.014,0.01,950.0,856.0,
200,v_1|participant_id[58],-2.756,1.234,-5.031,-0.443,0.038,0.027,1061.0,945.0,
